branch-load-misses,branch-misses,iTLB-load-misses,dTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,L1-dcache-load-misses,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.all_demand_miss,l2_rqsts.demand_data_rd_miss,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.rfo_miss,cache-misses,LLC-load-misses,LLC-store-misses,CPI
1596236,1599169,607,1339,376,27249,27221037,44999559,22824,509011,309121,76210689,33510,155813,2951719,159202,78091,2.06
1443246,1444848,991,2712,1058,32868,27058588,52151147,28573,544196,333551,63955306,36331,177074,2409248,172875,86322,2.11
1450622,1463747,1272,3557,1226,32886,27814832,43019876,19232,533091,333734,43451324,16537,137102,979083,65148,80419,1.97
1403282,1448718,1009,3295,816,26162,27416940,41841054,8719,534452,358283,54114548,24377,133746,1140997,46973,59848,2.22
1342545,1330908,975,2588,1013,25829,27267234,47867966,14940,489252,349854,52566918,31871,203638,851892,40910,60301,2.3
1405317,1395099,1076,3291,1180,37903,27033221,53508277,36581,523776,334713,47445883,22538,173605,434349,27378,42946,2.4
1415053,1410164,1492,5022,1255,34321,24235327,76022748,29432,531362,318849,79919622,35103,138810,1848978,59440,62961,2.37
1484962,1473160,783,2991,978,48469,23507121,107049858,31988,523792,320281,52162739,14047,161844,829543,55081,65373,2.37
1519647,1530159,1265,2131,1020,36945,24056013,101166385,35032,515658,331333,72489974,24689,148683,472224,25827,42275,2.38
1522598,1496566,990,4492,1073,32529,23640206,71774956,24934,473729,332562,92951903,37262,145405,981570,66833,74288,2.25
1619261,1592005,628,1469,678,25618,25432299,55663965,23581,471150,312822,89237871,44956,164926,2683734,99239,69634,2.13
1353057,1413044,728,2086,1089,30600,27266072,48427300,26289,561260,334703,69114829,48552,191044,2652384,152229,74989,2.05
1451505,1448387,1042,2701,1026,28860,28052156,45769358,16552,511246,339998,44800590,29869,150981,1596908,112299,76399,2.03
1452763,1463148,803,2097,607,28117,27796388,40786208,23135,539144,324445,46357666,14123,148478,651549,52448,49774,2.2
1354082,1391637,456,2788,1084,27243,27496447,41269711,28031,580634,356049,48401569,11062,150272,555026,38511,49703,2.34
1337845,1376340,1168,3588,1030,46700,26473194,52059602,13053,517861,366364,46693920,26087,153014,872847,63933,59195,2.24
1432090,1380330,870,3134,933,44315,26041693,61579126,17638,496781,334048,50677902,26968,184697,662714,864,42288,2.38
1502631,1472154,808,4413,850,46614,23700189,80035077,33457,515812,333399,53837677,33363,199053,756330,46954,43145,2.42
1548802,1539607,832,2322,1167,38333,23478443,111797645,43179,563521,320012,60432053,32497,164133,448484,25565,31568,2.39
1560384,1589837,1167,3588,1074,32487,24341071,105898103,38704,487897,299707,70407195,30038,162733,965314,30677,61332,2.37
1597253,1591926,503,1575,943,19353,25742071,69851346,39540,484976,292122,105982809,19084,156061,1572985,56763,84931,2.3
1459411,1459572,873,3975,1263,35229,25443143,54381848,35035,554797,312704,89678865,21345,116939,2788915,105923,84563,2.1
1535627,1508232,1357,3092,955,22145,27218112,47337324,13830,515279,359888,63633908,39275,136338,2296994,98077,80923,2.11
1549056,1529544,644,1779,619,21280,27855025,48536354,14572,478634,332648,49365951,22828,153825,1176722,86781,82775,2.06
1401582,1418988,837,1494,1130,31662,27661434,49955670,30295,540464,340941,52593932,23212,194663,1125593,37131,72237,2.19
1369737,1421816,1088,3118,1171,36904,27326394,48816267,27165,543341,342356,44411659,19076,172129,586415,30130,49592,2.31
1331529,1369436,850,3111,858,30774,27547752,51284353,25690,537622,338178,46632163,40284,178001,1023917,38843,54534,2.37
1453600,1408240,958,3389,1301,41677,26653659,48439801,41330,599457,344997,50431553,14338,137656,823420,51002,62281,2.29
1483847,1483378,1676,5675,1110,46054,23824040,66684390,13497,513801,356577,46719221,28433,147409,635459,25447,22362,2.4
1488423,1510806,606,3002,1141,43842,23264016,92050205,18929,476336,351629,60445101,29867,168572,69203,46490,50867,2.39
1496055,1504011,428,2726,1142,29577,24135675,104190653,20509,437669,327878,71400113,39221,209228,833017,2907,40398,2.39
1605797,1576985,925,1845,1244,27931,25880605,79750454,20846,442271,310801,108373890,35878,163297,2165070,60244,81023,2.14
1547640,1577481,686,1423,636,21760,27014055,58613558,29848,469604,292583,106384478,38534,148704,2843323,135399,64360,2.2
1550635,1572648,523,2825,987,25030,26439900,65848697,29605,568044,349082,63301516,45072,169242,2645492,140768,104586,2.09
1542086,1538646,859,2917,968,27430,28044713,42085736,17470,528547,331806,53537793,17048,141989,1174804,108865,85711,2.1
1367853,1405949,925,1750,678,21411,27516923,40620752,16605,533246,343425,46172669,13735,146764,788527,37970,60958,2.19
1356396,1351991,686,1691,778,21184,26507127,49412094,9455,522791,362847,50630574,23420,153720,660998,43322,56749,2.3
1377112,1349980,862,2264,1033,26631,25530050,65994526,15057,488609,336841,48355641,20785,177256,427048,24031,36465,2.37
1496089,1480375,1054,2981,1042,21384,25623361,67097233,20115,505800,319241,50909801,21243,174594,726503,30599,34480,2.41
1480907,1476000,958,3719,807,38190,24887030,80936819,32659,508035,316678,56846245,34176,185428,1126940,72828,71588,2.29
1536342,1548263,875,1734,1117,38701,25320319,82029071,43255,542592,315198,71592072,16601,133044,1126992,60323,78197,2.23
1497931,1518883,1603,3445,1219,32427,24389268,63430353,45652,472350,285540,112853329,18364,118744,1930642,71548,63554,2.27
1559789,1528452,832,2329,717,20797,25970160,46444540,19176,444946,303386,129068908,43150,143874,3148931,97447,96044,2.13
1509890,1540673,908,2114,1165,28376,26726477,54738016,27784,544996,300638,74648231,49138,177380,2857934,129502,75880,2.13
1457887,1470223,1402,2662,1017,29931,27613991,45840931,14533,507668,334619,46020213,36259,143850,1879773,121068,91227,2.05
1471633,1482584,850,2499,774,30462,24541388,67122235,31626,515398,341789,48027325,15067,150994,1202111,75960,85266,2.08
1291334,1274925,929,2059,1013,27394,27121830,48022150,15461,478208,356224,48281632,23123,174146,1122610,48866,67916,2.19
1345171,1335905,1092,2758,1234,34228,27183697,50974198,33364,518217,335124,46993138,27119,166354,419300,33412,46955,2.33
1386081,1392328,1233,3388,1104,42674,25842644,52913154,28544,534501,337417,43490152,20863,170014,660723,26124,34273,2.37
1440057,1448380,775,3909,791,37996,23975235,73162994,19243,510055,316597,45643898,11521,165002,764419,50645,68786,2.35
1518011,1482939,665,1326,510,20127,22180714,93394551,15137,528337,344894,56791718,21363,159944,411086,25666,31877,2.36
1415138,1437104,522,3245,877,24125,22321412,108871721,17366,390793,313115,80267121,21905,179762,386927,4498,51774,2.2
1523738,1516618,625,1337,479,27305,23413336,108943026,28408,419163,277929,90782790,23572,161833,928281,35043,55389,2.35
1520058,1534598,550,1393,659,17120,26060992,65250312,20645,482634,296675,106101040,23355,158554,2112950,61010,83032,2.27
1590623,1564152,816,2456,770,18680,27571141,54451531,22960,534330,319598,83810092,13169,114055,2451746,120855,68734,2.15
1542105,1548252,895,1272,418,14919,27491628,46992455,24840,542641,320863,65453062,10962,127436,2402054,122607,98727,2.06
1419004,1471897,619,1164,594,14105,27435655,43560662,20404,563066,343136,49097486,17461,133789,1156555,86367,104910,2.05
1338514,1357257,711,958,703,22623,24644671,85570589,12628,440363,304804,48160199,21089,152029,883286,32109,58034,2.25
1367518,1382576,1004,2303,719,22138,27563774,48425845,17716,563993,338688,48187209,20379,173200,522620,21763,39620,2.28
1333116,1379850,748,1401,460,20543,26338510,52099232,21265,532586,352793,41802552,19868,185087,703611,41167,52027,2.38
1465285,1447655,962,1590,631,19986,25821978,68237461,25154,568038,350173,44016073,12064,154937,398424,25983,42198,2.36
1534050,1494962,1070,2095,610,28950,20474910,110166261,23050,516650,338880,49169055,9142,133213,643989,24655,31535,2.39
1469489,1451912,897,1151,478,18855,22483589,98071971,14098,448888,328755,76371790,21462,155964,141087,52439,71621,2.37
1418381,1436976,600,2111,690,22471,23833293,79155078,14798,406610,320032,98029642,24582,205414,874638,11582,40802,2.35
1568209,1560779,646,1728,693,25223,26117522,70218656,22498,428888,280398,105238048,21310,150374,2144171,63222,61209,2.3
1471365,1504882,766,1749,504,27582,26008495,53522546,27580,490226,297121,81155726,23166,149327,2225747,97512,84129,2.18
1554486,1525849,598,1657,769,32439,27573626,51752586,32717,557853,337591,60230232,27623,163901,2751632,137797,94938,2.1
1474777,1494541,1033,2465,690,18985,28038245,41458971,21727,541560,315139,45082963,11279,134899,939065,58039,80507,2.04
1397389,1432468,980,1369,536,17795,26979803,43906718,8128,515268,359178,49228605,16480,132458,765157,34056,52899,2.24
1383194,1373317,753,1327,590,20906,26081475,59410324,11537,447501,333499,80289420,25925,187874,938681,39356,54851,2.29
1434267,1400366,531,1461,632,25397,26117632,67557606,27353,527372,329053,50240530,19146,168691,436399,25798,30553,2.4
1529782,1512461,1159,2544,861,23416,22505878,91667702,21944,490707,340033,44221062,17857,163165,700686,29477,39880,2.38
1520153,1536832,615,1104,389,23320,21882112,106031192,23222,502415,310083,67268611,12181,160578,830417,51034,68605,2.38
1565081,1537259,618,1340,740,19020,24387824,105664090,30780,518698,311950,78613060,10689,126499,1012999,33796,40435,2.38
1517029,1558715,860,1990,736,19830,25865764,65911993,21370,469428,297673,97337900,14659,145017,996172,42066,70420,2.3
1466333,1423196,422,2074,556,24012,26409655,57894084,9889,451259,297547,117564946,22917,139540,2107777,127636,81100,2.25
1438534,1444113,255,1497,648,51525,24690108,47972492,44310,412569,276711,77745734,31676,162958,2824442,133861,61146,2.06
1251300,1223589,768,2396,906,58727,7278453,36678202,74799,319116,172575,86713963,12958,93361,1015901,27112,54702,2.35
1550212,1573082,1217,1955,897,17448,27127372,57216868,22818,463234,269637,115000253,15100,115738,2396262,62004,69612,2.3
1544984,1544330,719,2465,1121,17097,26626432,51015099,15588,494171,321753,95050890,17879,119878,2446175,205033,102803,2.12
1499330,1479579,711,1950,1092,20201,27278624,49831523,15450,529643,351884,66016961,25821,160999,2155476,113761,73731,2.01
1417278,1469260,1292,3079,1083,24272,23929740,81618021,23749,522756,357497,50925807,17460,159392,1715426,95211,68574,1.9
1384155,1390015,707,1556,581,17764,27534545,43155422,18415,555931,330638,47047187,18132,152455,695247,46279,64620,2.24
1424494,1435882,728,1963,1029,19435,27440537,42279221,20468,593194,355254,51875922,9402,180259,813370,54855,64289,2.32
1334199,1387937,699,3013,1105,24968,26301138,44805092,8946,512802,370493,47322082,19471,151309,655612,28648,43131,2.38
1178603,1156429,11753,20333,1112,57234,17427657,162895487,13314,1045590,1090957,130150253,13207,6623,4878149,279350,1496,1.96
1107170,1086412,4658,22478,581,10682,17452102,184367465,11225,1027786,1104004,127904434,19307,6493,4922168,250061,1534,2.02
1158193,1142955,368,21833,762,15059,18135760,184036353,11503,793722,882934,133481579,12828,5964,5625793,338516,1356,1.75
1093781,1112009,219,20103,792,14593,20390693,158694306,17778,916123,870337,190060200,10694,5172,5362768,273114,3686,2.07
1187345,1187079,171,21615,724,15335,22361265,156418908,16116,959880,839703,181926569,10722,4594,6366130,362841,8303,1.84
